RT_Demand,DayOfWeek,HourOfDay
508.6,2.0,0.0
484.81,2.0,1.0
473.11,2.0,2.0
467.15,2.0,3.0
467.7,2.0,4.0
480.63,2.0,5.0
508.56,2.0,6.0
552.68,2.0,7.0
554.59,2.0,8.0
478.09,2.0,9.0
382.02,2.0,10.0
322.47,2.0,11.0
311.31,2.0,12.0
322.13,2.0,13.0
332.33,2.0,14.0
366.76,2.0,15.0
415.15,2.0,16.0
483.56,2.0,17.0
567.74,2.0,18.0
616.76,2.0,19.0
631.29,2.0,20.0
611.26,2.0,21.0
581.47,2.0,22.0
545.06,2.0,23.0
507.98,3.0,0.0
488.22,3.0,1.0
471.1,3.0,2.0
463.77,3.0,3.0
467.01,3.0,4.0
475.38,3.0,5.0
501.64,3.0,6.0
549.74,3.0,7.0
584.42,3.0,8.0
593.24,3.0,9.0
584.23,3.0,10.0
556.46,3.0,11.0
527.6,3.0,12.0
524.34,3.0,13.0
535.92,3.0,14.0
547.41,3.0,15.0
571.41,3.0,16.0
607.75,3.0,17.0
642.57,3.0,18.0
652.1,3.0,19.0
642.34,3.0,20.0
619.37,3.0,21.0
599.8,3.0,22.0
556.55,3.0,23.0
518.59,4.0,0.0
493.64,4.0,1.0
476.97,4.0,2.0
467.31,4.0,3.0
464.68,4.0,4.0
474.36,4.0,5.0
499.08,4.0,6.0
541.52,4.0,7.0
583.12,4.0,8.0
593.84,4.0,9.0
590.6,4.0,10.0
575.79,4.0,11.0
570.01,4.0,12.0
568.41,4.0,13.0
553.12,4.0,14.0
547.9,4.0,15.0
554.82,4.0,16.0
579.01,4.0,17.0
608.27,4.0,18.0
621.62,4.0,19.0
615.79,4.0,20.0
590.24,4.0,21.0
563.12,4.0,22.0
525.94,4.0,23.0
487.97,5.0,0.0
462.38,5.0,1.0
446.87,5.0,2.0
437.85,5.0,3.0
434.02,5.0,4.0
440.1,5.0,5.0
453.73,5.0,6.0
479.64,5.0,7.0
486.51,5.0,8.0
479.23,5.0,9.0
437.88,5.0,10.0
368.79,5.0,11.0
346.79,5.0,12.0
342.39,5.0,13.0
333.14,5.0,14.0
344.8,5.0,15.0
398.7,5.0,16.0
466.43,5.0,17.0
520.59,5.0,18.0
562.14,5.0,19.0
581.21,5.0,20.0
564.35,5.0,21.0
537.36,5.0,22.0
507.75,5.0,23.0
472.37,6.0,0.0
448.98,6.0,1.0
435.61,6.0,2.0
427.03,6.0,3.0
424.28,6.0,4.0
427.53,6.0,5.0
439.9,6.0,6.0
459.08,6.0,7.0
471.83,6.0,8.0
480.13,6.0,9.0
471.24,6.0,10.0
445.88,6.0,11.0
453.18,6.0,12.0
488.13,6.0,13.0
511.84,6.0,14.0
528.27,6.0,15.0
539.75,6.0,16.0
561.82,6.0,17.0
581.44,6.0,18.0
581.11,6.0,19.0
586.09,6.0,20.0
567.55,6.0,21.0
539.32,6.0,22.0
509.15,6.0,23.0
471.1,0.0,0.0
451.78,0.0,1.0
438.78,0.0,2.0
433.86,0.0,3.0
433.04,0.0,4.0
445.56,0.0,5.0
474.87,0.0,6.0
519.94,0.0,7.0
517.86,0.0,8.0
437.81,0.0,9.0
345.34,0.0,10.0
292.02,0.0,11.0
270.75,0.0,12.0
261.45,0.0,13.0
246.54,0.0,14.0
238.68,0.0,15.0
261.64,0.0,16.0
337.37,0.0,17.0
465.79,0.0,18.0
560.06,0.0,19.0
590.27,0.0,20.0
579.53,0.0,21.0
550.73,0.0,22.0
512.7,0.0,23.0
476.36,1.0,0.0
451.74,1.0,1.0
437.67,1.0,2.0
428.78,1.0,3.0
429.22,1.0,4.0
441.13,1.0,5.0
470.86,1.0,6.0
513.86,1.0,7.0
510.05,1.0,8.0
427.63,1.0,9.0
