,pred,truth
0,443.57874,389.57
1,447.99783,355.7
2,360.14676,349.13
3,301.96393,370.76
4,418.26755,398.36
5,341.04294,398.01
6,282.04068,380.34
7,250.6048,386.32
8,251.33495,395.92
9,350.56122,416.09
10,480.35602,454.54
11,535.12274,504.76
12,569.6991,539.64
13,574.8549,551.43
14,550.3344,548.71
15,518.2106,512.61
16,478.14484,470.01
17,446.3616,443.24
18,438.48175,429.11
19,428.56628,422.58
20,427.4291,420.07
21,425.79913,427.57
22,424.43256,451.36
23,418.38348,482.78
24,643.56287,481.61
25,615.6222,432.81
26,466.41653,364.73
27,398.88596,348.81
28,363.41953,370.79
29,403.48972,392.66
30,357.1828,377.99
31,307.0909,371.73
32,352.33893,388.41
33,387.40814,424.1
34,401.49896,483.88
35,489.86197,550.53
36,537.83875,586.79
37,552.5833,593.27
38,568.7728,586.67
39,540.74835,543.02
40,506.1141,493.33
41,471.88272,461.33
42,440.07907,443.59
43,434.2349,434.91
44,428.92825,431.71
45,427.50162,440.78
46,438.98083,462.35
47,503.70215,488.03
48,548.68207,480.41
49,496.44907,429.15
50,368.07254,374.59
51,362.2261,345.64
52,384.7637,339.42
53,350.7193,337.11
54,286.07733,342.2
55,319.59692,348.56
56,441.55954,379.54
57,412.08734,437.26
58,470.68057,516.2
59,562.91864,596.57
60,591.5907,636.25
61,587.64844,636.42
62,567.1497,628.46
63,526.8159,580.91
64,515.30786,525.74
65,489.4742,489.02
66,460.01587,468.94
67,442.332,456.55
68,449.14597,450.73
69,453.0178,456.6
70,474.38916,478.37
71,516.7095,507.04
72,522.63477,502.48
73,526.0801,457.42
74,484.76352,409.36
75,384.48636,384.79
76,485.83,384.28
77,584.71344,390.54
78,559.5624,401.38
79,526.06335,417.08
80,502.4234,445.88
81,496.9015,506.65
82,642.35706,581.82
83,626.5464,658.16
84,639.56946,693.35
85,665.3723,676.28
86,670.3354,671.86
87,641.06067,627.96
88,538.4287,567.63
89,485.65005,520.38
90,484.92957,496.58
91,508.36273,480.15
92,484.17636,471.94
93,473.50647,477.64
94,520.89343,497.57
95,572.85034,527.85
96,569.50543,527.79
97,552.67395,491.53
98,545.35474,451.56
99,546.9872,432.86
100,545.3537,434.26
101,522.8685,441.51
102,586.7542,458.63
103,594.6391,475.18
104,545.4183,510.65
105,539.79266,568.69
106,663.5778,635.6
107,664.9612,707.32
108,650.1514,726.93
109,647.5388,722.71
110,649.8229,719.43
111,631.4042,682.08
112,535.0756,619.92
113,537.81146,575.0
114,524.1617,550.28
115,531.1597,529.74
116,508.58136,521.0
117,475.87564,526.2
118,503.89923,543.41
119,532.97986,577.39
120,531.59485,593.05
121,505.3452,568.96
122,457.46628,529.61
123,420.5359,518.91
124,430.06384,519.85
125,446.3463,527.2
126,365.33765,553.09
127,404.19223,558.88
128,488.81635,583.23
129,578.88605,622.99
130,607.9467,679.6
131,657.9066,735.59
132,671.8238,751.03
133,672.0158,744.47
134,669.8334,753.35
135,647.4031,698.53
136,605.18634,648.6
137,552.26935,597.35
138,501.81424,561.51
139,506.91702,542.84
140,520.9693,529.78
141,515.2685,524.76
142,522.91266,526.49
143,559.8713,533.16
144,524.37866,529.15
145,432.04254,504.91
146,370.80273,481.46
147,349.79532,463.14
148,503.18228,460.95
149,419.66592,475.81
150,311.79196,512.35
151,405.7465,542.09
152,512.85876,569.69
153,535.91016,609.87
154,603.4596,661.78
155,643.8982,723.91
156,661.00665,754.29
157,629.4931,754.29
158,623.9015,747.14
159,633.9011,698.25
160,607.9688,639.4
161,556.53937,595.79
162,510.37775,569.96
163,521.6726,549.92
164,505.67798,538.08
165,482.68237,530.64
166,493.77267,529.72
167,516.56946,532.68
168,479.7327,525.85
169,410.44836,504.44
170,397.20068,483.17
171,324.86975,470.32
