,pred,truth
0,356.57312,389.57
1,334.7414,355.7
2,372.43814,349.13
3,339.49072,370.76
4,320.19513,398.36
5,327.57043,398.01
6,409.1817,380.34
7,438.47528,386.32
8,377.1909,395.92
9,416.15433,416.09
10,411.2653,454.54
11,495.4748,504.76
12,560.9895,539.64
13,529.6865,551.43
14,484.9143,548.71
15,464.19748,512.61
16,452.6537,470.01
17,384.0986,443.24
18,365.26794,429.11
19,325.8986,422.58
20,364.3166,420.07
21,384.52646,427.57
22,443.94803,451.36
23,507.53445,482.78
24,522.8415,481.61
25,454.78397,432.81
26,447.01477,364.73
27,417.21423,348.81
28,451.76172,370.79
29,415.18985,392.66
30,483.84113,377.99
31,468.11392,371.73
32,449.59412,388.41
33,507.50586,424.1
34,512.14606,483.88
35,534.2267,550.53
36,617.7538,586.79
37,570.72156,593.27
38,551.7125,586.67
39,474.43152,543.02
40,458.78336,493.33
41,455.02393,461.33
42,479.44037,443.59
43,407.99042,434.91
44,415.50253,431.71
45,368.77194,440.78
46,449.7337,462.35
47,506.6724,488.03
48,500.1576,480.41
49,445.1807,429.15
50,388.8935,374.59
51,383.70343,345.64
52,360.2915,339.42
53,338.06155,337.11
54,406.29587,342.2
55,441.2125,348.56
56,384.48343,379.54
57,454.84933,437.26
58,442.16263,516.2
59,538.5805,596.57
60,591.2609,636.25
61,596.48474,636.42
62,589.2573,628.46
63,488.59302,580.91
64,470.49545,525.74
65,436.69012,489.02
66,391.86093,468.94
67,336.97937,456.55
68,351.16537,450.73
69,427.66568,456.6
70,406.30563,478.37
71,470.40314,507.04
72,467.43887,502.48
73,440.56253,457.42
74,428.60178,409.36
75,400.15616,384.79
76,378.16196,384.28
77,436.6419,390.54
78,471.37445,401.38
79,480.18942,417.08
80,453.00452,445.88
81,468.45807,506.65
82,537.06836,581.82
83,548.6051,658.16
84,580.15674,693.35
85,568.7344,676.28
86,584.10175,671.86
87,537.23804,627.96
88,510.1092,567.63
89,508.93277,520.38
90,455.5945,496.58
91,418.17538,480.15
92,335.13913,471.94
93,387.02078,477.64
94,384.26865,497.57
95,486.09494,527.85
96,497.79245,527.79
97,454.22836,491.53
98,416.30118,451.56
99,410.09567,432.86
100,443.9149,434.26
101,442.44455,441.51
102,425.55695,458.63
103,449.37253,475.18
104,404.11206,510.65
105,416.9439,568.69
106,511.8185,635.6
107,564.86,707.32
108,624.94354,726.93
109,643.2833,722.71
110,626.9377,719.43
111,578.82715,682.08
112,507.7348,619.92
113,488.7692,575.0
114,476.25897,550.28
115,429.67834,529.74
116,389.69748,521.0
117,340.04553,526.2
118,397.09787,543.41
119,455.11667,577.39
120,426.6482,593.05
121,448.35287,568.96
122,418.3303,529.61
123,459.06046,518.91
124,509.30066,519.85
125,474.91602,527.2
126,524.0649,553.09
127,544.66406,558.88
128,539.8409,583.23
129,541.63446,622.99
130,600.6648,679.6
131,650.2703,735.59
132,641.3974,751.03
133,650.7914,744.47
134,632.45166,753.35
135,608.1396,698.53
136,487.21,648.6
137,483.9132,597.35
138,415.9621,561.51
139,394.43762,542.84
140,387.01077,529.78
141,446.62692,524.76
142,451.9764,526.49
143,463.99805,533.16
144,500.83493,529.15
145,406.08618,504.91
146,397.95013,481.46
147,394.6013,463.14
148,408.35617,460.95
149,386.78195,475.81
150,418.8133,512.35
151,383.93784,542.09
152,406.55008,569.69
153,451.54984,609.87
154,496.77808,661.78
155,589.7168,723.91
156,630.2807,754.29
157,611.9238,754.29
158,590.8095,747.14
159,576.2841,698.25
160,530.743,639.4
161,502.2525,595.79
162,446.9129,569.96
163,482.54434,549.92
164,459.86197,538.08
165,441.2992,530.64
166,471.11508,529.72
167,499.30133,532.68
168,470.24545,525.85
169,409.3762,504.44
170,388.41898,483.17
171,374.9065,470.32
172,401.1884,484.57
173,343.10583,500.14
174,362.0617,511.89
175,451.87305,525.82
176,444.3334,555.72
177,482.06122,611.51
178,560.13275,688.34
179,604.86584,762.4
180,584.7467,781.57
181,610.72406,778.16
182,582.5725,768.24
183,584.80096,715.39
184,567.9879,652.25
185,557.04364,610.45
186,481.51562,584.53
187,509.8273,566.36
188,506.4301,558.14
189,492.11322,561.74
190,507.67667,578.87
191,551.4431,610.62
192,495.0355,627.56
193,498.9529,609.84
194,427.52823,581.63
195,477.51837,565.51
196,384.3835,580.7
197,462.2366,613.7
198,325.9267,634.64
199,401.97055,638.8
200,391.437,660.51
201,427.69983,712.19
202,516.23944,782.07
203,606.25464,809.45
204,638.82886,808.66
205,631.97095,799.6
206,602.6559,796.35
207,637.254,745.53
208,533.7127,683.96
209,547.84973,643.82
210,536.28,616.4
211,529.84784,589.6
212,538.1743,578.65
213,522.1852,581.15
214,548.0185,602.31
215,514.41736,643.66
216,592.1834,664.19
217,466.99243,641.53
218,416.14886,600.94
219,390.2091,589.0
220,333.88687,609.04
221,354.46753,625.84
222,347.66833,638.13
223,399.39517,658.74
224,416.7389,694.36
225,495.439,722.72
226,532.91675,776.3
227,635.8399,809.71
228,659.2389,819.89
229,659.4028,818.63
230,643.5723,820.24
231,635.461,769.17
232,558.0506,707.42
233,573.306,654.82
234,529.9092,629.3
235,569.6829,612.47
236,570.41974,604.14
237,559.16,610.83
238,551.74695,636.16
239,562.9238,667.62
240,558.78357,707.84
241,556.17267,718.5
242,538.30115,688.95
243,462.93878,638.72
244,480.4062,587.46
245,445.9535,542.39
246,449.82178,526.89
247,417.96762,523.15
248,475.83566,542.41
249,500.4857,570.74
250,575.3883,628.73
251,625.6087,678.77
252,637.7953,691.52
253,625.32416,686.09
254,619.09375,676.4
255,638.85406,627.28
256,557.43317,568.9
257,551.4523,528.71
258,570.25616,505.03
259,556.0337,489.19
260,535.6788,480.39
261,521.0988,483.9
262,548.6896,502.3
263,564.886,532.81
264,551.7933,526.9
265,535.87164,482.49
266,534.66675,429.72
267,491.47455,416.84
268,454.74155,445.25
269,455.99203,466.83
270,457.64264,475.58
271,456.6613,489.83
272,495.51062,499.05
273,489.88153,521.62
274,536.4281,559.51
275,582.3771,628.17
276,641.691,662.29
277,632.2842,662.3
278,620.825,655.58
279,582.7288,613.55
280,557.9049,562.91
281,530.7843,525.55
282,548.48895,504.03
283,508.59238,490.73
284,492.97098,483.89
285,470.43643,488.46
286,469.24106,503.63
287,495.9144,527.54
288,523.5941,538.82
289,481.8618,497.33
290,429.73077,451.77
291,424.06332,438.88
292,375.18668,462.46
293,416.19458,467.67
294,423.95547,481.56
295,464.28516,482.73
296,482.69202,506.8
297,478.8336,557.15
298,604.30316,616.4
299,612.22906,656.38
300,614.8149,667.74
301,579.8418,661.37
302,584.2703,655.38
303,573.7566,613.61
304,525.47876,562.64
305,517.99567,523.25
306,523.2085,500.21
307,524.9262,484.76
308,525.14923,476.15
309,490.47086,478.18
310,475.8878,482.67
311,448.5588,486.19
312,460.738,486.36
313,471.24545,480.91
314,502.11902,501.54
315,483.0187,524.19
316,487.0633,533.41
317,497.44357,520.4
318,465.97067,490.1
319,456.6059,453.57
320,463.49747,441.18
321,473.98093,480.99
322,519.1148,560.49
323,574.271,611.1
324,615.1045,631.48
325,598.5563,631.57
326,579.70667,623.91
327,546.03296,591.4
328,517.82965,544.13
329,482.21332,512.01
330,464.91525,493.88
331,476.9564,481.26
332,476.84946,473.53
333,458.64133,475.89
334,457.5803,478.1
335,470.62823,479.91
336,472.14328,471.17
337,470.19778,466.69
338,454.19827,471.08
339,505.33762,476.72
340,485.04648,488.1
341,484.79224,508.4
342,495.62354,544.75
343,518.2818,568.9
344,512.80896,559.64
345,509.5491,577.28
346,564.4931,616.77
347,581.8155,649.69
348,635.061,669.17
349,614.8146,671.16
350,618.9659,660.47
351,578.2808,620.6
352,461.2055,573.17
353,436.69925,539.95
354,439.25787,521.63
355,467.9127,508.03
356,472.35516,505.38
357,476.2802,512.29
358,478.48553,537.84
359,530.26416,580.93
360,556.21405,618.57
361,539.9394,630.56
362,535.8914,624.84
363,525.419,630.29
364,531.2371,628.64
365,530.48834,615.43
366,542.36597,620.43
367,575.09564,611.23
368,566.3606,604.43
369,553.6092,623.41
370,573.3933,653.38
371,609.00574,662.34
372,617.88513,668.29
373,619.26245,659.21
374,610.8549,644.55
375,564.40466,604.91
376,529.25336,557.19
377,509.43265,527.68
378,475.6965,509.06
379,443.17963,496.29
380,450.11584,489.95
381,475.75546,493.62
382,495.18457,522.17
383,526.0785,557.14
384,514.7517,594.67
385,536.64655,599.65
386,490.76974,571.88
387,472.30875,547.89
388,453.10535,528.91
389,464.29086,530.1
390,469.16928,544.29
391,467.15677,589.02
392,501.5288,613.46
393,485.96027,652.69
394,544.1601,663.74
395,593.7847,670.55
396,615.65967,664.32
397,606.7889,660.13
398,634.3447,653.52
