时间,短期预测湿度,短期预测风速,短期预测风向,短期预测温度,短期预测气压,实际功率,实际风速
2018/1/1 0:00,65,13.7,44,13.8,1008,34.45345,9.055454545
2018/1/1 0:15,64,13.7,44,13.8,1008,32.44368,9.516666667
2018/1/1 0:30,64,13.6,43,13.7,1008,32.29186,9.528787879
2018/1/1 0:45,64,13.7,43,13.7,1007,33.94744,9.174545455
2018/1/1 1:00,63,13.7,43,13.7,1007,39.40294,11.01393939
2018/1/1 1:15,63,13.7,43,13.7,1007,39.11144,10.73969697
2018/1/1 1:30,63,13.8,42,13.6,1007,35.23444,9.824848485
2018/1/1 1:45,63,13.8,42,13.5,1007,33.76534,9.685151515
2018/1/1 2:00,63,13.9,41,13.5,1007,32.30527,8.681212121
2018/1/1 2:15,63,14,41,13.5,1007,34.46104,9.548787879
2018/1/1 2:30,63,13.9,41,13.4,1007,33.2573,9.321818182
2018/1/1 2:45,63,14,41,13.3,1007,34.51181,9.671515152
2018/1/1 3:00,64,14,40,13.3,1007,32.87878,9.505757576
2018/1/1 3:15,64,14.1,40,13.3,1007,29.8855,8.721818182
2018/1/1 3:30,64,14.1,40,13.3,1007,31.33618,9.211212121
2018/1/1 3:45,65,14.1,39,13.2,1007,32.60448,9.529090909
2018/1/1 4:00,65,14.2,39,13.2,1007,36.51809,10.50212121
2018/1/1 4:15,66,14.2,38,13.1,1007,35.6935,10.54909091
2018/1/1 4:30,66,14.1,38,13.1,1007,33.03744,10.73484848
2018/1/1 4:45,66,14.2,38,13.1,1007,35.68752,9.903939394
2018/1/1 5:00,66,14.1,38,13,1007,35.37783,9.678181818
2018/1/1 5:15,66,14.1,37,12.9,1008,35.06685,9.390606061
2018/1/1 5:30,66,14,36,12.9,1008,32.03941,8.724848485
2018/1/1 5:45,66,14,36,12.9,1008,31.98224,8.544242424
2018/1/1 6:00,66,13.9,36,12.8,1008,30.10081,8.563636364
2018/1/1 6:15,66,13.8,35,12.8,1008,25.48943,7.764545455
2018/1/1 6:30,66,13.8,35,12.8,1008,27.61723,8.356666667
2018/1/1 6:45,66,13.6,35,12.8,1008,33.27909,9.041515152
2018/1/1 7:00,66,13.6,35,12.8,1008,34.00768,8.987575758
2018/1/1 7:15,66,13.5,35,12.9,1008,35.37226,9.354848485
2018/1/1 7:30,66,13.5,35,12.9,1009,36.94397,10.05
2018/1/1 7:45,66,13.4,35,12.9,1009,33.95141,9.216060606
2018/1/1 8:00,66,13.3,35,13,1009,35.71947,9.420606061
2018/1/1 8:15,66,13.3,35,13.1,1009,33.87674,9.340909091
2018/1/1 8:30,66,13.2,36,13.2,1009,35.06682,9.366666667
2018/1/1 8:45,65,13.2,37,13.3,1009,34.16212,8.765757576
2018/1/1 9:00,65,13.1,38,13.4,1009,35.91621,9.446969697
2018/1/1 9:15,65,13.2,39,13.6,1009,36.53308,9.828484848
2018/1/1 9:30,65,13.2,39,13.7,1009,37.05812,9.963030303
2018/1/1 9:45,65,13.1,40,13.8,1009,37.99755,9.708484848
2018/1/1 10:00,65,13,41,14,1009,38.25735,9.761212121
2018/1/1 10:15,65,13,43,14.1,1009,35.05059,9.698484848
2018/1/1 10:30,65,13.1,43,14.2,1009,36.25733,10.23575758
2018/1/1 10:45,65,13.1,45,14.4,1009,39.40938,11.56333333
2018/1/1 11:00,65,13.1,46,14.5,1009,39.38667,10.79575758
2018/1/1 11:15,66,13.1,47,14.6,1009,39.3154,11.09151515
2018/1/1 11:30,66,13.1,48,14.7,1008,40.36183,11.16363636
2018/1/1 11:45,66,13,49,14.8,1008,40.12995,10.88060606
2018/1/1 12:00,66,13.1,51,14.9,1008,38.53332,11.23060606
2018/1/1 12:15,67,13.1,52,14.9,1008,37.66628,10.16606061
2018/1/1 12:30,68,13.1,53,15,1008,37.77385,10.25454545
2018/1/1 12:45,68,13.1,54,15.1,1007,37.88695,10.02151515
2018/1/1 13:00,68,13.2,55,15.1,1007,37.88565,10.68090909
2018/1/1 13:15,69,13.3,56,15.2,1007,38.90907,10.19363636
2018/1/1 13:30,70,13.3,57,15.3,1006,36.92418,10.44545455
2018/1/1 13:45,70,13.3,57,15.3,1006,37.02006,9.79
2018/1/1 14:00,70,13.4,58,15.3,1006,38.77075,10.71333333
2018/1/1 14:15,71,13.5,58,15.3,1006,41.3946,10.87181818
2018/1/1 14:30,72,13.6,59,15.4,1006,39.26368,10.33636364
2018/1/1 14:45,72,13.8,59,15.4,1006,37.58844,10.46454545
2018/1/1 15:00,72,13.9,59,15.4,1006,39.86678,10.80454545
2018/1/1 15:15,73,14,58,15.5,1006,37.78824,10.32515152
2018/1/1 15:30,74,14,59,15.5,1006,37.62261,10.24242424
2018/1/1 15:45,74,14.2,59,15.5,1006,40.76054,10.79818182
2018/1/1 16:00,74,14.2,58,15.5,1006,37.80213,9.918484848
2018/1/1 16:15,74,14.4,58,15.5,1006,35.33946,9.335757576
2018/1/1 16:30,75,14.6,58,15.5,1006,34.39824,9.565454545
2018/1/1 16:45,75,14.6,57,15.5,1006,39.49431,10.46848485
2018/1/1 17:00,75,14.7,57,15.5,1006,35.62381,9.794545455
2018/1/1 17:15,75,14.7,57,15.5,1006,35.97174,9.595454545
2018/1/1 17:30,75,14.8,56,15.5,1006,33.60118,8.918181818
2018/1/1 17:45,75,14.8,55,15.4,1006,33.34741,9.150909091
2018/1/1 18:00,75,14.9,55,15.4,1006,35.85674,9.79030303
2018/1/1 18:15,75,14.8,55,15.4,1006,35.38621,9.408181818
